Date,1010.SR,1080.SR,1120.SR,1180.SR,1211.SR,2010.SR,2020.SR,2150.SR,2222.SR,2310.SR,3030.SR,3040.SR,3050.SR,3060.SR,4003.SR,4008.SR,4030.SR,4190.SR,4200.SR,7010.SR
2025-02-26,28.13359260559082,20.53618621826172,98.50177764892578,34.64557647705078,45.79999923706055,62.37425994873047,107.36066436767578,51.55363845825195,25.811853408813477,20.314908981323242,39.579010009765625,48.32591247558594,31.067983627319336,21.11379623413086,91.79230499267578,31.950000762939453,23.38514518737793,12.094216346740723,147.05209350585938,41.613101959228516
2025-02-27,27.8037166595459,20.40430450439453,97.52457427978516,34.06166458129883,45.650001525878906,60.42506408691406,105.22510528564453,50.6647834777832,25.716957092285156,20.220333099365234,38.96574401855469,48.13932800292969,30.77853012084961,20.984149932861328,92.64486694335938,32.29999923706055,23.54001235961914,11.850833892822266,142.5,40.669395446777344
2025-03-02,26.86121940612793,20.630390167236328,97.13369750976562,33.86702346801758,45.75,60.23014450073242,105.41924285888672,50.269737243652344,25.811853408813477,20.069011688232422,38.96574401855469,47.85944747924805,29.91016960144043,20.835983276367188,92.36067199707031,31.149999618530273,22.223628997802734,11.906999588012695,138.1999969482422,40.89408493041992
2025-03-03,28.180715560913086,20.856475830078125,99.6744155883789,34.54825973510742,45.20000076293945,61.009822845458984,106.38995361328125,50.46725845336914,26.096542358398438,20.333824157714844,39.626182556152344,48.04603576660156,30.392593383789062,20.96562957763672,92.07649230957031,31.299999237060547,22.80438804626465,11.869555473327637,143.39999389648438,41.163719177246094
2025-03-04,28.274967193603516,20.328941345214844,98.30633544921875,34.15898132324219,43.54999923706055,60.42506408691406,104.6426773071289,48.8870735168457,25.527162551879883,20.16358757019043,39.53183364868164,47.95274353027344,30.392593383789062,20.854503631591797,90.93973541259766,30.649999618530273,22.610803604125977,11.794669151306152,138.8000030517578,40.849151611328125
2025-03-05,28.274967193603516,20.460824966430664,98.69721221923828,34.2076416015625,43.70000076293945,60.23014450073242,105.61338806152344,49.0845947265625,25.195024490356445,20.106842041015625,39.43748092651367,48.13932800292969,30.682044982910156,20.89154624938965,91.98175811767578,30.649999618530273,22.533369064331055,12.019330024719238,135.0,41.028907775878906
2025-03-06,27.662343978881836,19.952131271362305,99.08809661865234,33.86702346801758,44.45000076293945,60.9123649597168,107.36066436767578,48.83769226074219,24.910335540771484,20.220333099365234,39.767704010009766,47.85944747924805,30.296106338500977,20.9285888671875,91.98175811767578,30.350000381469727,22.649518966674805,11.719782829284668,134.60000610351562,40.574039459228516
2025-03-09,27.42671775817871,20.51734733581543,98.50177764892578,33.721046447753906,45.5,60.9123649597168,106.5841064453125,47.45502471923828,25.2899227142334,20.16358757019043,39.626182556152344,47.6728630065918,30.006654739379883,20.706336975097656,92.64486694335938,31.25,22.92053985595703,11.75722599029541,137.0,39.93722152709961
2025-03-10,28.651966094970703,20.630390167236328,99.47897338867188,34.15898132324219,43.0,61.009822845458984,105.22510528564453,48.04759979248047,24.95778465270996,20.012266159057617,38.58835220336914,47.20639419555664,29.81368637084961,20.854503631591797,89.9924545288086,30.649999618530273,23.152841567993164,11.75722599029541,135.0,40.210147857666016
2025-03-11,27.756593704223633,20.234739303588867,97.91545104980469,33.721046447753906,44.849998474121094,61.30220413208008,104.44853210449219,47.60316848754883,24.95778465270996,20.012266159057617,38.87139892578125,47.01980972290039,30.296106338500977,20.94710922241211,89.89772033691406,31.0,22.997974395751953,11.70106029510498,136.1999969482422,40.210147857666016
2025-03-12,28.039342880249023,20.385461807250977,98.30633544921875,33.52640914916992,43.75,61.692039489746094,105.03096008300781,47.5044059753418,24.862886428833008,19.993350982666016,39.39030838012695,47.29969024658203,30.199623107910156,21.13231658935547,90.93973541259766,32.70000076293945,23.46257781982422,11.682337760925293,142.0,40.0281982421875
2025-03-13,28.039342880249023,20.310102462768555,98.89265441894531,33.575069427490234,44.04999923706055,61.692039489746094,104.44853210449219,47.850074768066406,24.625646591186523,19.57721710205078,39.343135833740234,47.20639419555664,30.15138053894043,20.96562957763672,90.37136840820312,33.04999923706055,22.455934524536133,11.663616180419922,142.60000610351562,39.75528335571289
2025-03-16,28.180715560913086,20.53618621826172,99.47897338867188,33.721046447753906,46.0,62.86155700683594,105.03096008300781,48.78831100463867,24.720542907714844,20.466230392456055,39.579010009765625,47.95274353027344,30.392593383789062,21.20639991760254,90.37136840820312,33.70000076293945,23.38514518737793,11.775947570800781,143.0,40.0281982421875
2025-03-17,28.604841232299805,20.724592208862305,100.06529235839844,34.54825973510742,46.400001525878906,63.05647659301758,104.06024932861328,48.640167236328125,24.625646591186523,20.65538215637207,40.286617279052734,47.76615524291992,30.923255920410156,21.28048324584961,91.03446960449219,34.45000076293945,22.92053985595703,11.832113265991211,138.1999969482422,40.48306655883789
2025-03-18,28.84046745300293,20.91299819946289,99.47897338867188,34.25630187988281,46.650001525878906,61.886962890625,104.25439453125,47.40564727783203,24.607576370239258,20.239248275756836,40.569664001464844,47.85944747924805,30.826772689819336,21.0582332611084,91.31865692138672,34.349998474121094,23.230276107788086,11.832113265991211,136.60000610351562,40.0281982421875
2025-03-19,29.17034149169922,21.195608139038086,99.08809661865234,34.59691619873047,45.349998474121094,60.9123649597168,103.28368377685547,46.418025970458984,24.078895568847656,19.633962631225586,40.61683654785156,49.07225799560547,30.585561752319336,20.94710922241211,91.12311553955078,33.849998474121094,23.772315979003906,11.719782829284668,134.39999389648438,40.48306655883789
2025-03-20,29.17034149169922,21.195608139038086,99.08809661865234,34.59691619873047,45.349998474121094,60.9123649597168,103.28368377685547,46.418025970458984,24.078895568847656,19.633962631225586,40.61683654785156,49.07225799560547,30.585561752319336,20.94710922241211,91.12311553955078,33.849998474121094,24.043336868286133,11.719782829284668,134.39999389648438,40.48306655883789
2025-03-23,28.651966094970703,20.724592208862305,96.9382553100586,34.013004302978516,45.900001525878906,60.71744155883789,101.73054504394531,45.924217224121094,24.799819946289062,19.198911666870117,40.47531509399414,48.50385665893555,30.489078521728516,21.11379623413086,91.12311553955078,32.099998474121094,24.159486770629883,11.738504409790039,133.60000610351562,40.11917495727539
